gsa_source,gsa_target,spillover_weight
269,299,57691.57582766995
269,343,57676.51879451832
269,463,57691.57582766995
271,146,57686.25274063531
271,149,57686.805565663526
271,157,57691.57582766995
271,224,57691.57582766995
271,252,57691.57582766995
271,259,57690.79385007396
271,265,57691.57582766995
271,286,57684.934144581486
271,289,57691.57582766995
271,299,57691.57582766995
271,343,57676.51879451832
271,463,57691.57582766995
277,222,34409.56809531901
277,226,34409.41786481226
277,25,62808.51247295271
277,29,62807.39842406602
277,358,34408.15393092718
277,411,34409.52696283114
277,42,62808.341741371296
277,43,62808.51247295271
277,470,62808.51247295271
277,490,62806.02055981838
277,518,62780.624696867395
277,528,62808.51247295271
277,530,62808.51247295271
277,537,62808.51247295271
277,538,62808.51247295271
277,541,62775.672704709374
277,544,62808.46821886437
277,545,62808.51247295271
277,73,34405.50341687941
281,12,38149.72703812947
281,18,38148.84022216222
281,187,38146.83441147617
281,211,38149.38003110631
281,222,62027.22466956683
281,226,62027.14492101142
281,25,10077.494520324844
281,266,38149.72703812947
281,29,10077.439334304705
281,317,38149.72703812947
281,358,62024.86652703892
281,411,62027.22466956683
281,42,10077.494520324844
281,43,10077.494520324844
281,470,10077.494520324844
281,490,10077.218256156033
281,518,10073.143493076326
281,528,10077.494520324844
281,530,10077.494520324844
281,537,10077.494520324844
281,538,10077.494520324844
281,541,10072.348946545048
281,544,10077.494520324844
281,545,10077.494520324844
281,65,38101.35246999324
281,73,62020.088654318075
286,116,82481.1048363437
286,137,82481.1048363437
286,140,82481.1048363437
286,142,82481.1048363437
286,151,82481.1048363437
286,152,82481.1048363437
286,159,82481.1048363437
286,183,82467.62601575343
286,189,82481.1048363437
286,201,82481.1048363437
286,208,82480.65832667564
286,228,82481.1048363437
286,249,82481.1048363437
286,288,82481.1048363437
286,389,82481.1048363437
286,91,82481.1048363437
286,99,82481.1048363437
288,155,64749.99802656572
288,160,64748.28894715454
288,182,64749.99802656572
288,193,64749.99802656572
288,312,64743.97222939028
288,496,64746.819903390046
288,97,64749.49689574629
289,116,82490.60148165036
289,137,82490.19865032798
289,140,82490.60148165036
289,142,82486.05479034371
289,151,82490.60148165036
289,152,82490.60148165036
289,159,82490.49498250103
289,183,82467.62601575343
289,189,82490.60148165036
289,201,82489.48688825034
289,208,82480.65832667564
289,228,82481.68700358826
