cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2022,06031,219,Greens,40,8.9
2022,06031,220,Plums,9723,2162.3
2022,06031,221,Strawberries,1,0.2
2022,06031,225,Dbl Crop WinWht/Corn,75667,16827.9
2022,06031,226,Dbl Crop Oats/Corn,649,144.3
2022,06031,227,Lettuce,235,52.3
2022,06031,228,Dbl Crop Triticale/Corn,23611,5251.0
2022,06031,236,Dbl Crop WinWht/Sorghum,12912,2871.6
2022,06031,237,Dbl Crop Barley/Corn,512,113.9
2022,06031,238,Dbl Crop WinWht/Cotton,133,29.6
2022,06031,242,Blueberries,117,26.0
2022,06039,1,Corn,16268,3617.9
2022,06039,2,Cotton,4750,1056.4
2022,06039,3,Rice,1039,231.1
2022,06039,4,Sorghum,140,31.1
2022,06039,6,Sunflowers,11,2.4
2022,06039,12,Sweet Corn,2,0.4
2022,06039,21,Barley,2657,590.9
2022,06039,22,Durum Wheat,314,69.8
2022,06039,23,Spring Wheat,1087,241.7
2022,06039,24,Winter Wheat,72131,16041.5
2022,06039,27,Rye,152,33.8
2022,06039,28,Oats,7563,1682.0
2022,06039,33,Safflower,421,93.6
2022,06039,35,Mustard,23,5.1
2022,06039,36,Alfalfa,50121,11146.6
2022,06039,37,Other Hay/Non Alfalfa,3077,684.3
2022,06039,42,Dry Beans,126,28.0
2022,06039,43,Potatoes,18,4.0
2022,06039,44,Other Crops,121,26.9
2022,06039,46,Sweet Potatoes,137,30.5
2022,06039,47,Misc Vegs & Fruits,1,0.2
2022,06039,49,Onions,219,48.7
2022,06039,51,Chick Peas,11,2.4
2022,06039,54,Tomatoes,9935,2209.5
2022,06039,57,Herbs,59,13.1
2022,06039,58,Clover/Wildflowers,68,15.1
2022,06039,61,Fallow/Idle Cropland,34193,7604.3
2022,06039,66,Cherries,4654,1035.0
2022,06039,67,Peaches,5156,1146.7
2022,06039,68,Apples,741,164.8
2022,06039,69,Grapes,315990,70274.5
2022,06039,71,Other Tree Crops,1589,353.4
2022,06039,72,Citrus,31520,7009.9
2022,06039,74,Pecans,29,6.4
2022,06039,75,Almonds,794062,176595.1
2022,06039,76,Walnuts,16811,3738.7
2022,06039,77,Pears,4,0.9
2022,06039,111,Open Water,44615,9922.1
2022,06039,112,Perennial Ice/Snow,2956,657.4
2022,06039,121,Developed/Open Space,152659,33950.5
2022,06039,122,Developed/Low Intensity,53789,11962.4
2022,06039,123,Developed/Medium Intensity,33113,7364.2
2022,06039,124,Developed/High Intensity,10485,2331.8
2022,06039,131,Barren,105564,23476.9
2022,06039,141,Deciduous Forest,33590,7470.2
2022,06039,142,Evergreen Forest,1888640,420023.4
2022,06039,143,Mixed Forest,2787,619.8
2022,06039,152,Shrubland,1121970,249520.1
2022,06039,176,Grass/Pasture,1031874,229483.3
2022,06039,190,Woody Wetlands,2439,542.4
2022,06039,195,Herbaceous Wetlands,10992,2444.6
2022,06039,204,Pistachios,257061,57169.0
2022,06039,205,Triticale,2589,575.8
2022,06039,206,Carrots,199,44.3
2022,06039,208,Garlic,395,87.8
2022,06039,209,Cantaloupes,98,21.8
2022,06039,210,Prunes,232,51.6
2022,06039,211,Olives,3233,719.0
2022,06039,212,Oranges,127,28.2
2022,06039,213,Honeydew Melons,60,13.3
2022,06039,214,Broccoli,31,6.9
2022,06039,215,Avocados,1,0.2
2022,06039,216,Peppers,25,5.6
2022,06039,217,Pomegranates,16865,3750.7
2022,06039,218,Nectarines,57,12.7
2022,06039,220,Plums,4310,958.5
2022,06039,221,Strawberries,1,0.2
2022,06039,225,Dbl Crop WinWht/Corn,30646,6815.5
2022,06039,226,Dbl Crop Oats/Corn,4922,1094.6
2022,06039,227,Lettuce,145,32.2
2022,06039,228,Dbl Crop Triticale/Corn,3157,702.1
2022,06039,229,Pumpkins,1,0.2
2022,06039,236,Dbl Crop WinWht/Sorghum,384,85.4
2022,06039,237,Dbl Crop Barley/Corn,66,14.7
2022,06039,238,Dbl Crop WinWht/Cotton,502,111.6
2022,06039,242,Blueberries,20,4.4
2022,06047,1,Corn,53060,11800.3
2022,06047,2,Cotton,149268,33196.4
2022,06047,3,Rice,3100,689.4
2022,06047,4,Sorghum,1484,330.0
2022,06047,6,Sunflowers,183,40.7
2022,06047,12,Sweet Corn,8,1.8
2022,06047,14,Mint,1,0.2
2022,06047,21,Barley,6507,1447.1
2022,06047,22,Durum Wheat,1066,237.1
2022,06047,23,Spring Wheat,115,25.6
2022,06047,24,Winter Wheat,140720,31295.4
2022,06047,27,Rye,4439,987.2
2022,06047,28,Oats,75637,16821.3
